species,pseudoabsence_buffer_distance,max_depth,class_balance
Achillea millefolium,25.0,10,2.0
Aconitum columbianum,20.0,6,1.5
Agastache urticifolia,10.0,4,1.0
Agoseris aurantiaca,20.0,6,1.5
Agoseris glauca,5.0,10,1.0
Aliciella pinnatifida,20.0,8,0.5
Allium cernuum,25.0,8,1.0
Allium geyeri,15.0,8,1.0
Anemone canadensis,15.0,10,1.5
Angelica ampla,20.0,4,2.5
Angelica grayi,10.0,4,1.5
Antennaria parvifolia,10.0,6,1.0
Antennaria rosea,10.0,6,1.0
Aquilegia coerulea,25.0,10,3.0
Arnica cordifolia,25.0,10,1.5
Arnica fulgens,10.0,8,2.5
Arnica parryi,25.0,4,1.5
Asclepias asperula,25.0,10,2.5
Asclepias speciosa,25.0,10,3.0
Asclepias tuberosa,25.0,10,2.5
Asclepias viridiflora,20.0,4,0.5
Bombus appositus,20.0,6,2.0
Bombus bifarius,25.0,10,2.5
Bombus californicus,20.0,6,2.0
Bombus centralis,20.0,6,1.0
Bombus fervidus,25.0,10,1.5
Bombus flavifrons,10.0,4,1.5
Bombus griseocollis,25.0,10,3.0
Bombus huntii,25.0,10,3.0
Bombus insularis,10.0,4,1.0
Bombus melanopygus,15.0,4,2.5
Bombus mixtus,15.0,4,1.0
Bombus nevadensis,25.0,10,2.0
Bombus occidentalis,20.0,6,1.5
Bombus pensylvanicus,25.0,10,3.0
Bombus rufocinctus,5.0,6,0.5
Bombus sylvicola,5.0,4,1.0
Calochortus gunnisonii,25.0,10,2.0
Campanula parryi,20.0,6,0.5
Campanula rapunculoides,25.0,10,3.0
Caragana arborescens,15.0,10,2.5
Castilleja linariifolia,25.0,10,1.0
Castilleja occidentalis,25.0,4,0.5
Castilleja sulphurea,20.0,6,2.0
Centaurea diffusa,10.0,10,3.0
Chamerion angustifolium,25.0,10,3.0
Cirsium arvense,25.0,10,2.0
Cirsium canescens,15.0,6,0.5
Cirsium parryi,25.0,4,2.0
Cirsium scariosum_scopulorum,25.0,4,1.5
Cirsium undulatum,20.0,10,2.5
Claytonia lanceolata,25.0,8,3.0
Collomia linearis,25.0,6,2.0
Colutea arborescens,25.0,4,0.5
Corydalis aurea,25.0,10,1.5
Cymopterus lemmonii,25.0,6,0.5
Dalea purpurea,20.0,10,2.5
Delphinium barbeyi,5.0,4,0.5
Delphinium carolinianum,10.0,8,3.0
Delphinium nuttallianum,25.0,10,2.0
Dieteria bigelovii,15.0,6,0.5
Dodecatheon pulchellum,25.0,10,3.0
Eremogone congesta,5.0,6,1.0
Eremogone fendleri,25.0,10,2.5
Ericameria parryi,20.0,6,2.0
Erigeron elatior,25.0,4,1.0
Erigeron speciosus,25.0,8,1.5
Eriogonum umbellatum,25.0,8,2.0
Erysimum capitatum,25.0,10,2.0
Erythronium grandiflorum,15.0,10,1.0
Eucephalus engelmannii,15.0,4,1.5
Fragaria virginiana,25.0,10,2.5
Frasera speciosa,25.0,10,3.0
Galium boreale,25.0,10,2.0
Gentiana algida,10.0,4,0.5
Gentiana parryi,20.0,8,3.0
Gentianella acuta,25.0,6,1.0
Geranium caespitosum,20.0,10,3.0
Geranium richardsonii,25.0,10,2.0
Geum rivale,10.0,4,2.0
Geum rossii,20.0,6,1.5
Geum triflorum,25.0,8,1.5
Hackelia floribunda,25.0,8,1.5
Helianthella quinquenervis,25.0,4,1.0
Heliomeris multiflora,20.0,10,1.0
Heracleum maximum,25.0,10,3.0
Heterotheca villosa,15.0,10,1.5
Heuchera hallii,5.0,4,2.0
Hydrophyllum capitatum,10.0,6,1.5
Hydrophyllum fendleri,20.0,4,1.0
Hymenoxys hoopesii,25.0,10,0.5
Ipomopsis aggregata,25.0,10,0.5
Iris missouriensis,25.0,10,1.5
Jamesia americana,25.0,10,2.5
