species
Achillea millefolium
Aconitum columbianum
Agoseris aurantiaca
Agoseris glauca
Aliciella pinnatifida
Allium cernuum
Allium geyeri
Angelica ampla
Angelica grayi
Antennaria parvifolia
Antennaria rosea
Aquilegia coerulea
Arnica cordifolia
Arnica fulgens
Arnica parryi
Asclepias asperula
Asclepias speciosa
Calochortus gunnisonii
Campanula parryi
Campanula rapunculoides
Caragana arborescens
Castilleja linariifolia
Castilleja miniata
Castilleja occidentalis
Centaurea diffusa
Cirsium arvense
Cirsium canescens
Cirsium clavatum
Cirsium parryi
Cirsium scariosum
Cirsium undulatum
Claytonia lanceolata
Collomia linearis
Colutea arborescens
Conioselinum scopulorum
Corydalis aurea
Cymopterus lemmonii
Delphinium carolinianum
Delphinium nuttallianum
Delphinium ramosum
Descurainia incana
Dieteria bigelovii
Dodecatheon pulchellum
Eremogone congesta
Eremogone fendleri
Ericameria parryi
Erigeron elatior
Erigeron eximius
Erigeron speciosus
Erigeron subtrinervis
Eriogonum lonchophyllum
Eriogonum umbellatum
Erysimum capitatum
Erythronium grandiflorum
Fragaria virginiana
Frasera speciosa
Galium boreale
Gentiana parryi
Gentianopsis detonsa
Geranium caespitosum
Geranium richardsonii
Geum rivale
Geum rossii
Geum triflorum
Hackelia floribunda
Helianthella quinquenervis
Heliomeris multiflora
Heuchera hallii
Holodiscus dumosus
Hydrophyllum capitatum
Hydrophyllum fendleri
Hymenoxys hoopesii
Hypochaeris radicata
Ipomopsis aggregata
Iris missouriensis
Jamesia americana
Lathyrus lanszwertii
Ligusticum porteri
Linaria dalmatica
Linaria vulgaris
Linum lewisii
Lithospermum multiflorum
Lonicera involucrata
Lupinus argenteus
Lupinus sericeus
Melilotus officinalis
Mentzelia multiflora
Mertensia ciliata
Mertensia lanceolata
Monarda fistulosa
Nepeta cataria
Opuntia polyacantha
Oreocarya virgata
Orthocarpus luteus
Osmorhiza occidentalis
Oxytropis lambertii
Packera werneriifolia
Pedicularis bracteosa
Pedicularis canadensis
Pedicularis groenlandica
Pedicularis parryi
Pedicularis procera
Pedicularis racemosa
Penstemon glaber
Penstemon hallii
Penstemon secundiflorus
Penstemon whippleanus
Phacelia heterophylla
Physocarpus monogynus
Polemonium foliosissimum
Potentilla fruticosa
Potentilla hippiana
Potentilla pensylvanica
Potentilla pulcherrima
Prunella vulgaris
Prunus pensylvanica
Pyrrocoma crocea
Ranunculus inamoenus
Rhodiola integrifolia
Rhodiola rhodantha
Ribes cereum
Ribes montigenum
Rosa acicularis
Rosa woodsii
Rubus deliciosus
Rubus idaeus
Rudbeckia hirta
Rudbeckia laciniata
Salix wolfii
Sedum lanceolatum
Senecio atratus
Senecio bigelovii
Senecio crassulus
Senecio fremontii
Senecio integerrimus
Senecio serra
Senecio triangularis
Sidalcea candida
Solidago missouriensis
Solidago multiradiata
Solidago simplex
Swertia perennis
Symphoricarpos rotundifolius
Symphyotrichum foliaceum
Symphyotrichum spathulatum
Taraxacum officinale
Telesonix jamesii
Thermopsis rhombifolia
Thlaspi arvense
Tragopogon dubius
Trifolium nanum
Trifolium pratense
Valeriana acutiloba
Valeriana occidentalis
Verbascum thapsus
Vicia americana
Viola nuttallii
Wyethia arizonica
