year,site,doy,week,tot.obs.length,species,caste,bee.sum,plant.species,plant.family
2015,Avery.Wash,141,2,80,bifarius,queen,1,Mertensia.fusiformis,Boraginaceae
2015,Avery.Wash,149,3,60,bifarius,queen,1,Mertensia.fusiformis,Boraginaceae
2015,Avery.Wash,153,4,60,bifarius,queen,2,Mertensia.fusiformis,Boraginaceae
2015,Avery.Wash,158,5,60,bifarius,queen,1,Mertensia.fusiformis,Boraginaceae
2015,Avery.Wash,158,5,60,flavifrons,queen,2,Mertensia.fusiformis,Boraginaceae
2015,Avery.Wash,168,6,60,appositus,queen,5,Delphinium.nuttallianum,Ranunculaceae
2015,Avery.Wash,168,6,60,flavifrons,queen,6,Delphinium.nuttallianum,Ranunculaceae
2015,Avery.Wash,168,6,60,flavifrons,queen,3,Hydrophyllum.fendleri,Hydrophyllaceae
2015,Avery.Wash,170,6,30,flavifrons,queen,1,Delphinium.nuttallianum,Ranunculaceae
2015,Avery.Wash,170,6,30,flavifrons,queen,1,Lonicera.involucrata,Caprifoliaceae
2015,Avery.Wash,170,6,30,flavifrons,queen,3,Hydrophyllum.fendleri,Hydrophyllaceae
2015,Avery.Wash,177,7,60,appositus,queen,1,Lathyrus.lanszwertii.var.leucanthus,Fabaceae
2015,Avery.Wash,177,7,60,flavifrons,queen,1,Delphinium.nuttallianum,Ranunculaceae
2015,Avery.Wash,177,7,60,flavifrons,queen,2,Hydrophyllum.fendleri,Hydrophyllaceae
2015,Avery.Wash,177,7,60,flavifrons,queen,1,Mertensia.ciliata,Boraginaceae
2015,Avery.Wash,177,7,60,nevadensis,queen,1,Hydrophyllum.fendleri,Hydrophyllaceae
2015,Avery.Wash,183,8,60,appositus,queen,1,Aquilegia.coerulea,Ranunculaceae
2015,Avery.Wash,183,8,60,appositus,queen,1,Delphinium.nuttallianum,Ranunculaceae
2015,Avery.Wash,183,8,60,appositus,queen,1,Hydrophyllum.fendleri,Hydrophyllaceae
2015,Avery.Wash,183,8,60,appositus,queen,2,Lathyrus.lanszwertii.var.leucanthus,Fabaceae
2015,Avery.Wash,183,8,60,appositus,queen,3,Vicia.americana,Fabaceae
2015,Avery.Wash,183,8,60,appositus,worker,1,Vicia.americana,Fabaceae
2015,Avery.Wash,183,8,60,flavifrons,queen,2,Hydrophyllum.fendleri,Hydrophyllaceae
2015,Avery.Wash,183,8,60,flavifrons,queen,1,Mertensia.ciliata,Boraginaceae
2015,Avery.Wash,183,8,60,rufocinctus,queen,1,Hydrophyllum.fendleri,Hydrophyllaceae
2015,Avery.Wash,191,9,60,appositus,queen,2,Delphinium.barbeyi,Ranunculaceae
2015,Avery.Wash,191,9,60,appositus,queen,1,Hydrophyllum.fendleri,Hydrophyllaceae
2015,Avery.Wash,191,9,60,appositus,queen,1,Vicia.americana,Fabaceae
