year,gps_unit,gps_wp,date,month.x,day.x,vial,vial.unique,ack.nam,num_flow,flow_clust,time_field,pol_sp,sex,lat,lon,ele_m,ele_ft
2019,GPS1,321,6/20/2019,6,20,2,B,Physocarpus monogynus,20,clust,8:21,Bombus huntii,,38.84900196,-104.943502,2296.60498,7534.793483
2019,GPS1,362,6/20/2019,6,20,20,A,Mertensia lanceolata,100,flow,13:24,Bombus centralis,,38.84941704,-104.942184,2259.23877,7412.200926
2019,GPS1,423,6/25/2019,6,25,4,,Penstemon virens,4,clust,9:32,Bombus bifarius,,38.85496904,-104.942746,2404.706055,7889.455813
2019,GPS1,456,6/25/2019,6,25,24,,Penstemon virens,27,clust,12:09,Bombus sylvicola,,38.85652497,-104.955334,2631.395508,8633.187638
2019,GPS1,485,6/26/2019,6,26,2,A,Rubus deliciosus,57,flow,9:10,Bombus huntii,,38.84897699,-104.947585,2510.77124,8237.438715
2019,GPS1,587,6/27/2019,6,27,22,,Penstemon virens,29,clust,10:39,Bombus centralis,,38.89030698,-104.976298,2600.11084,8530.547648
2019,GPS1,688,7/2/2019,7,2,34,A,Penstemon virens,200,clust,12:16,Bombus huntii,,38.85471004,-104.945722,2481.778809,8142.319188
2019,GPS1,691,7/2/2019,7,2,45,,Geranium caespitosum,50,flow,13:13,Bombus sylvicola,,38.85615902,-104.94576,2540.294189,8334.298787
2019,GPS1,692,7/3/2019,7,3,6,,Geranium caespitosum,50,flow,9:45,Bombus bifarius,,38.85617897,-104.94574,2533.094238,8310.6769
2019,GPS1,692,7/3/2019,7,3,16,,Penstemon virens,20,clust,10:46,Bombus huntii,,38.85617897,-104.94574,2533.094238,8310.6769
2019,GPS1,692,7/3/2019,7,3,17,,Penstemon virens,20,clust,10:48,Bombus nevadensis,,38.85617897,-104.94574,2533.094238,8310.6769
2019,GPS1,693,7/3/2019,7,3,25,,Rosa acicularis subsp. sayi,42,flow,11:40,Bombus melanopygus,,38.85604796,-104.946685,2492.496094,8177.480885
2019,GPS2,A092,7/9/2019,7,9,2,,Frasera speciosa,18,flow,10:45,Bombus bifarius,,38.88702303,-104.985134,2836.657227,9306.618497
2019,GPS1,799,7/9/2019,7,9,3,,Sedum lanceolatum var. lanceolatum,12,clust,8:45,Bombus centralis,,38.89327803,-104.972929,2397.772461,7866.707801
2019,GPS1,809,7/9/2019,7,9,12,,Frasera speciosa,1,clust,9:40,Bombus centralis,,38.89144197,-104.97476,2533.175537,8310.943629
2019,GPS1,818,7/9/2019,7,9,16,,Penstemon virens,6,clust,10:12,Bombus centralis,,38.89051099,-104.975992,2586.886719,8487.161423
2019,GPS1,844,7/9/2019,7,9,36,,Penstemon virens,23,clust,12:38,Bombus bifarius,,38.88503803,-104.986779,2804.540527,9201.248743
2019,GPS2,A141,7/10/2019,7,10,15,,Mertensia ciliata,200,flow,12:16,Bombus bifarius,,38.84188598,-105.026556,3616.614014,11865.53192
2019,GPS1,872,7/10/2019,7,10,22,A,Mertensia ciliata,20,clust,12:18,Bombus bifarius,,38.842091,-105.026603,3617.077148,11867.05139
2019,GPS2,A172,7/11/2019,7,11,6,,Penstemon virens,10,flow,11:30,Bombus centralis,,38.855537,-104.926775,2010.987671,6597.728791
2019,GPS1,886,7/11/2019,7,11,2,,Sedum lanceolatum var. lanceolatum,40,clust,8:57,Bombus bifarius,,38.893115,-104.972735,2403.884521,7886.760492
2019,GPS1,921,7/11/2019,7,11,30,,Frasera speciosa,10,flow,13:47,Bombus bifarius,,38.88614796,-104.985892,2829.428223,9282.901291
2019,GPS1,933,7/12/2019,7,12,10,,Penstemon virens,100,flow,9:53,Bombus centralis,,38.85472002,-104.944032,2426.240723,7960.107614
