species_name,species_key
Bombus mixtus,1340485
Bombus bifarius,1340393
Bombus sylvicola,1340525
Bombus flavifrons,1340467
Bombus insularis,1340331
Bombus rufocinctus,1340347
Bombus appositus,1340470
Bombus occidentalis,1340429
Bombus melanopygus,1340518
Bombus nevadensis,1340439
Bombus huntii,1340369
Bombus centralis,1340324
Bombus californicus,1340343
Achillea millefolium,3120060
Chamerion angustifolium,6428353
Dodecatheon pulchellum,3169253
Erigeron speciosus,3147146
Gentianella acuta,8196434
Geranium richardsonii,2890865
Heterotheca villosa,5401977
Lupinus argenteus,2964374
Dieteria bigelovii,3117074
Mertensia lanceolata,5341244
Orthocarpus luteus,3171645
Phacelia heterophylla,2928077
Potentilla fissa,3019818
Potentilla pulcherrima,5365568
Cymopterus lemmonii,3034888
Rosa woodsii,3004072
Sedum lanceolatum,5362021
Solidago multiradiata,5389132
Solidago simplex,5389158
Symphyotrichum porteri,3151604
Taraxacum officinale,5394163
Thermopsis rhombifolia,5360178
Trifolium pratense,8324121
Physocarpus monogynus,2988349
Penstemon virens,3171618
Rubus deliciosus,2999961
Geranium caespitosum,2890354
Frasera speciosa,7948050
Mertensia ciliata,5341240
Penstemon hallii,3171383
Heuchera hallii,3032688
Rubus idaeus,2993094
Potentilla fruticosa,5370380
Allium cernuum,2856745
Penstemon glaber,3171412
Senecio bigelovii,3108554
Solidago missouriensis,5389117
Telesonix jamesii,3032607
Rhodiola rhodantha,2985692
Penstemon whippleanus,3171516
Potentilla hippiana,5367733
Aconitum columbianum,3033668
Verbascum thapsus,3171949
Phacelia hastata,2928209
Melilotus officinalis,8193111
Monarda fistulosa,5341411
Nepeta cataria,5341499
Oreochrysum parryi,3089430
Geum rossii,5369874
Campanula rapunculoides,5410436
Centaurea diffusa,3128962
Linaria dalmatica,5415011
Linaria vulgaris,5415020
Swertia perennis,5414540
Penstemon secundiflorus,3171504
Antennaria rosea,5385499
Oxytropis sericea,8056047
Corydalis aurea,5334210
Packera werneriifolia,8053778
Iris missouriensis,5298923
Asclepias asperula,8683730
Pedicularis canadensis,3171674
Valeriana acutiloba,2888751
Silene acaulis,5384754
Jamesia americana,5362087
Hydrophyllum fendleri,2928274
Senecio fremontii,3108974
Rhodiola integrifolia,2985695
Geum rivale,5369701
Rudbeckia hirta,3114225
Dalea purpurea,5353342
Aliciella pinnatifida,4056519
Cirsium canescens,3112906
Calochortus gunnisonii,2750816
Anemone canadensis,9419395
Rudbeckia laciniata,3114229
Gentiana algida,3170111
Cirsium arvense,3113414
Ribes cereum,2986127
Caragana arborescens,2943190
Thlaspi arvense,3052680
Cirsium undulatum,3113051
Arnica fulgens,5405934
Linum lewisii,2873876
Allium geyeri,2857196
Pedicularis parryi,3171735
Eremogone fendleri,3814794
Angelica ampla,5371821
Hymenoxys hoopesii,3150175
Polemonium foliosissimum,2927865
Trifolium nanum,5359319
Oreocarya virgata,2926164
Castilleja occidentalis,3170680
Mentzelia multiflora_speciosa,5331493
Antennaria parvifolia,5385520
Campanula parryi,5411120
Potentilla pensylvanica,5368602
Aquilegia coerulea,3033188
Asclepias tuberosa,3170305
Lithospermum multiflorum,2926081
Asclepias speciosa,3170260
Packera fendleri,8378787
Agoseris glauca,3092888
Pedicularis groenlandica,3171729
Erigeron elatior,3147056
Hackelia floribunda,2925937
Mertensia fusiformis,5341243
Delphinium nuttallianum,3033734
Lonicera involucrata,5334253
Lathyrus lanszwertii,5356432
Vicia americana,2975204
Delphinium barbeyi,3033713
Helianthella quinquenervis,5400888
Cirsium parryi,3112578
Senecio serra,8158683
Heliomeris multiflora,3099317
Gentiana parryi,3170102
Claytonia lanceolata,3084746
Erythronium grandiflorum,2752872
Hydrophyllum capitatum,2928278
Geum triflorum,5369703
Pedicularis procera,3171709
Pedicularis bracteosa,3171700
Pyrrocoma crocea,3134374
Collomia linearis,2927552
Eucephalus engelmannii,5386313
Senecio integerrimus,3107969
Ipomopsis aggregata,2927979
Ericameria parryi,3103006
Valeriana occidentalis,2888753
Prunella vulgaris,5341297
Trifolium repens,5358748
Eriogonum umbellatum,2889574
Agastache urticifolia,2926403
Thalictrum fendleri,3033120
Pedicularis racemosa,7400180
Ranunculus inamoenus,3033505
Agoseris aurantiaca,3092928
Viola nuttallii,5331211
Heracleum maximum,3034826
Arnica parryi,5406027
Ribes montigenum,10137876
Osmorhiza occidentalis,3034142
Eremogone congesta,6364619
Castilleja sulphurea,3170627
Sidalcea candida,3152723
Arnica cordifolia,5405914
Ligusticum porteri,3034795
Angelica grayi,5371801
Fragaria virginiana,7950792
Senecio triangularis,3108906
Symphoricarpos rotundifolius,2888638
Senecio crassulus,3108477
Tragopogon dubius,6443709
Erysimum capitatum,3048540
Castilleja linariifolia,3170636
Galium boreale,2914338
